path,parent_path,plant_id,type,latitude,longitude,manufacturer,model,description,downstream_power
MOR.PS01.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS03.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS03.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS04.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS04.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS05.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS05.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS06.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS06.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS07.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS07.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS08.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS08.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS09.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS09.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS10.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS10.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS11.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS11.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS12.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS12.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS13.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS13.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS14.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS14.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS15.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS15.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS16.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS16.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS17.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS17.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS18.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS18.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS19.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS19.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
