path,parent_path,plant_id,type,latitude,longitude,manufacturer,model,description,downstream_power
GOO.PS01.I002.L1CB28,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB29,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB30,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB31,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB32,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB17,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,123.132
GOO.PS02.I001.L1CB18,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB19,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB20,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB21,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB22,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB23,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB24,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB25,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB26,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB27,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB28,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB29,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB30,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB31,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB32,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB01,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB02,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB03,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB04,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB05,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB06,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB07,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB08,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,123.132
GOO.PS02.I002.L1CB10,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB11,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB12,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB13,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB14,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB15,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB16,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB09,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB01,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,153.915
GOO.PS03.I001.L1CB02,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB03,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB04,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB05,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB06,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB07,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB08,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB09,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB10,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB11,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB12,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB13,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB14,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB15,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I001.L1CB16,GOO.PS03.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,92.349
GOO.PS03.I002.L1CB17,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB18,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB19,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB20,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB21,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB22,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB23,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB24,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB25,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB26,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB27,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB28,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB29,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB30,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB31,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS03.I002.L1CB32,GOO.PS03.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB01,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB02,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB03,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB04,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB05,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB06,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB07,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB08,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,92.349
GOO.PS04.I001.L1CB09,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB10,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS04.I001.L1CB11,GOO.PS04.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
