path,parent_path,plant_id,type,latitude,longitude,manufacturer,model,description,downstream_power
LSF.PS24.I003,LSF.PS24,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS25.I001,LSF.PS25,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS25.I002,LSF.PS25,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS25.I003,LSF.PS25,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS01.I001.L1CB01,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I001.L1CB02,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I001.L1CB03,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I001.L1CB04,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I001.L1CB05,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I002.L1CB01,LSF.PS01.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,288.0
LSF.PS01.I002.L1CB02,LSF.PS01.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,288.0
LSF.PS01.I002.L1CB03,LSF.PS01.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,259.2
LSF.PS01.I002.L1CB04,LSF.PS01.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I002.L1CB05,LSF.PS01.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,288.0
LSF.PS01.I002.L1CB06,LSF.PS01.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,259.2
LSF.PS01.I003.L1CB01,LSF.PS01.I003,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I003.L1CB02,LSF.PS01.I003,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I003.L1CB03,LSF.PS01.I003,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I003.L1CB04,LSF.PS01.I003,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I003.L1CB05,LSF.PS01.I003,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS02.I001.L1CB01,LSF.PS02.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,172.8
LSF.PS02.I001.L1CB02,LSF.PS02.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,288.0
LSF.PS02.I001.L1CB03,LSF.PS02.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,288.0
LSF.PS02.I001.L1CB04,LSF.PS02.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS02.I001.L1CB05,LSF.PS02.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,288.0
LSF.PS02.I001.L1CB06,LSF.PS02.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,316.8
LSF.PS02.I002.L1CB01,LSF.PS02.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,259.2
LSF.PS02.I002.L1CB02,LSF.PS02.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS02.I002.L1CB03,LSF.PS02.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS02.I002.L1CB04,LSF.PS02.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,172.8
LSF.PS02.I002.L1CB05,LSF.PS02.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,288.0
LSF.PS02.I002.L1CB06,LSF.PS02.I002,11,Combiner_Box_L1,-23.04434,148.35774,,,,288.0
LSF.PS02.I003.L1CB01,LSF.PS02.I003,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS02.I003.L1CB02,LSF.PS02.I003,11,Combiner_Box_L1,-23.04434,148.35774,,,,316.8
LSF.PS02.I003.L1CB03,LSF.PS02.I003,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
