path,parent_path,plant_id,type,latitude,longitude,manufacturer,model,description,downstream_power
MOR.PS01.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.SUB.INC02_8K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.SUB.FED02_8B2,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.SUB.TRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.SUB.ATRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.PPC01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.PPC02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.MVC_SUB_PS01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.PS01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.PS01.CEL01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.PS01.CEL02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.PS01.TRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.PS01.ATRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I001,MOR.PS01.I001,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.SUB.INC02_8K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.SUB.FED02_8B2,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.SUB.TRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.SUB.ATRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.PPC01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.PPC02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.MVC_SUB_PS01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.PS01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.PS01.CEL01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.PS01.CEL02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.PS01.TRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.PS01.ATRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS01.I002,MOR.PS01.I002,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.SUB.INC02_8K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.SUB.FED02_8B2,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.SUB.TRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.SUB.ATRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PPC01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PPC02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.MVC_SUB_PS01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.MVC_PS01_PS02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PS02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PS01.CEL02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PS01.CEL03,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PS02.CEL01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PS02.CEL02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PS02.TRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PS02.ATRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I001,MOR.PS02.I001,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.SUB.INC01_5K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.SUB.INC02_8K1,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.SUB.FED02_8B2,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.SUB.TRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.SUB.ATRF01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.PPC01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.PPC02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.MVC_SUB_PS01,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.MVC_PS01_PS02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.PS02,13,Inverter,-29.56228,148.86192,,,,1253.2
MOR.PS02.I002,MOR.PS01.CEL02,13,Inverter,-29.56228,148.86192,,,,1253.2
